1	215
2	110
3	52
4	7
5	49
6	102
7	54
8	8
9	16
10	132
11	70
12	19
13	8
14	18
15	13
16	82
17	67
18	20
19	88
20	15
21	89
22	36
23	16
24	28
25	76
26	13
27	9
28	11
29	38
30	3
31	38
32	177
34	128
36	67
38	4
39	104
40	2
41	15
42	7
43	8
44	46
45	32
46	15
47	203
48	68
49	1
50	204
52	28
53	2
54	3
55	1
57	8
58	37
60	34
61	6
62	80
63	7
64	5
65	31
66	9
68	5
69	20
70	55
71	5
72	7
73	13
74	8
75	5
76	15
77	1
78	3
79	17
80	2
81	14
82	8
83	1
85	7
86	15
87	7
88	16
89	10
92	8
93	9
94	10
95	84
96	1
97	10
99	2
100	14
101	23
102	5
103	3
104	99
105	23
106	1
107	26
108	1
110	237
111	104
112	46
113	3
116	5
117	1
118	2
119	2
121	2
122	16
123	4
125	12
126	7
128	1
129	1
132	6
135	31
137	1
140	16
141	86
144	12
145	51
146	3
147	15
148	1
149	1
150	201
151	44
152	2
153	137
154	12
155	6
156	3
157	11
158	62
159	14
160	57
161	103
162	17
163	66
164	14
165	144
166	3
168	54
169	10
170	35
171	6
172	53
173	62
174	10
175	20
176	13
177	8
178	1
179	2
180	36
181	17
183	2
184	2
185	112
186	48
187	4
188	12
189	1
190	5
191	6
193	35
194	18
195	10
196	45
198	28
199	4
201	1
202	1
203	22
204	30
205	9
206	2
207	21
208	115
209	3
210	4
211	2
212	3
213	6
214	2
215	24
216	49
217	6
218	14
219	1
220	1
222	16
223	104
224	40
225	52
227	22
228	3
229	7
230	24
231	133
232	14
233	12
234	17
235	70
236	45
237	22
238	2
239	17
240	4
241	1
242	5
243	1
246	29
247	21
248	17
249	18
250	6
251	3
252	43
253	109
254	1
255	7
256	35
257	14
258	10
259	5
260	251
261	42
262	21
263	1
265	33
266	68
267	17
269	2
270	5
271	4
272	31
273	28
274	7
275	6
276	22
277	38
278	2
279	2
280	13
281	14
282	40
283	3
284	1
285	1
287	1
288	92
289	8
290	14
291	3
292	101
293	133
294	2
295	1
296	307
298	1
299	4
300	81
301	1
302	5
303	32
304	3
305	9
306	16
307	24
308	20
310	1
311	1
312	9
313	3
314	16
315	38
316	140
317	81
318	317
319	20
320	1
321	2
322	10
324	1
325	7
326	3
327	34
328	10
329	108
330	6
331	2
332	12
333	50
334	5
335	2
336	1
337	77
338	19
339	98
340	5
341	2
342	33
343	5
344	161
345	36
346	6
347	6
348	30
349	110
350	57
351	17
352	2
353	64
354	6
355	42
356	329
357	103
358	9
359	1
360	8
361	17
362	34
363	2
364	172
365	4
366	12
367	157
368	74
369	2
370	58
371	21
372	21
373	11
374	25
376	40
377	171
378	7
379	21
380	178
381	11
382	16
383	21
384	2
385	1
386	1
387	4
388	2
389	2
390	5
391	1
393	10
405	12
406	1
407	8
408	2
